,title
639,JNU Protest LIVE: Student Admitted to AIIMS After Being Injured During Agitation Over Fee Hike - News18
640,Sharad Pawar keeps Shiv Sena guessing; says no talks with Sonia on Maharashtra govt formation - Times of India
641,"Vodafone Idea, Bharti Airtel to raise mobile services rates - Times of India"
642,The Troubling Legacy of Chief Justice Ranjan Gogoi - The Wire
643,"""Will Get 4th Chief Minister Jailed"": Saryu Roy After Jharkhand BJP Denies Ticket - NDTV News"
644,"On 250th Session, Rajya Sabha Marshals Ditch White 'Bandhgala' for Navy Blue Military-style Uniform - News18"
645,Military-style uniform for Rajya Sabha marshals - Times of India
646,"8 Soldiers Trapped In Snow After Avalanche In Siachen, Rescue Ops On - NDTV News"
647,"Trying to broker compromise between BJP, Shiv Sena with a new formula: Ramdas Athawale - Times of India"
648,Stents More Effective Than Drugs For Heart Disease? What Study Says - NDTV News
649,"Salman Khan talks about 'steroid use for body building,' reveals his workout mantra - Times of India"
650,"Airtel postpaid and prepaid plan prices to go up from December, company says it has to keep business viable - India Today"
651,"In 'New' India, bribes, illegal commissions are called electoral bonds: Rahul Gandhi - Times of India"
652,"""Money Laundering"": Congress Takes On BJP After Reports On Electoral Bonds - NDTV News"
653,Three killed in shooting at Walmart in Oklahoma - Times of India
654,Six dead after avalanche hits Army positions in Northern Siachen - Times of India
655,Domestic air passenger traffic grows by 3.98% in October - Moneycontrol.com
656,Major reforms in last five years will help govt reach $5 tn economy goal: FM - Livemint
657,"RBI Plans to Set up College of Supervisors, Says Governor Shaktikanta Das - News18"
658,SC to Hear Chidambaram's Bail Plea in INX Money-laundering Case on Wednesday - News18
659,"4 Soldiers, 2 Porters Dead After Avalanche Hits Army Patrol In Siachen - NDTV News"
660,Samsung Galaxy W20 5G shows off its new paint job in an unofficial video - GSMArena.com news - GSMArena.com
661,Family history of Diabetes? It might start showing by the time you are 21 - Times of India
662,"Growth decelerated, but there is no slump: Govt tells lawmakers - Livemint"
663,"French Surgeon Charged With 250 Sex Assaults, Diary Helped Trace Them: Report - NDTV News"
664,"Rajya Sabha Marshals' New Uniform Upsets Army, Irks Elders - NDTV News"
665,"RBI has cut rates by 110 bps since April, but average lending rates goes up 8 bps: Report - Economic Times"
666,Chris Lynn Breaks Alex Hales' T10 League Record With 30-Ball 91 - ndtv.com
667,"Releasing Chris Lynn ""Bad Call"" By KKR, Must Send Shah Rukh Khan A Message: Yuvraj Singh - ndtv.com"
668,Bigg Boss 13: Asim Riaz confesses that he has a problem with Sidharth Shukla and Devoleena's growing prox - Times of India
669,Sena-Led Rule In Maharashtra Soon: Sanjay Raut After Meeting Sharad Pawar - NDTV News
670,Samsung will sell a Star Wars Special Edition Galaxy Note 10+ with Galaxy Buds - XDA Developers
671,Beware! Velvety 'triple palms' can be sign of lung cancer - The New Indian Express
672,Govt readies 15-day action plan as Delhi braces for decline in air quality - Livemint
673,"Tata Steel plans to scrap up to 3,000 jobs in Europe - Livemint"
674,Masked Hong Kong protesters attempt to escape varsity campus - Hindustan Times
675,"Bigg Boss 13: Manish Naggdev feels Sidharth Shukla, Asim Riaz and Shehnaaz Gill are playing the right game - PINKVILLA"
676,‘It was true’: Speaker backs up HM on remarks over Farooq’s custody in August - Hindustan Times
677,Oil Slides as China Concern On Impeachment Adds Another Twist To Trade Deal - Investing.com
678,"Jammu and Kashmir, economy, pollution set Parliament flashpoint - Hindustan Times"
679,AMD Ryzen 5 2600 deal makes it the best processor for most people - TechRadar India
680,"Maharashtra talks move slowly, Sharad Pawar sidesteps queries - Times of India"
681,"Bigg Boss 13: Arhaan Khan says he is in love with Rashami Desai, wants to go inside the house again... - Hindustan Times"
682,"Winter session, Day 1: Opposition attacks govt on J&K, Farooq - Times of India"
683,Most parents struggle to distinguish teen angst from depression - Reuters India
684,Awareness of antibiotic use must: Doctors - Times of India
685,Valve announces a new Half-Life game for VR: Half-Life Alyx - The Verge
686,Two new Canon EOS M mirrorless cameras could be announced in 2020 - TechRadar India
687,"‘I have the right to speak,’ says Donald Trump amid impeachment hearings - Hindustan Times"
688,"Redmi Note 8 Set to Go on Sale Today at 12 Noon via Amazon India, Mi.com: Check Price, Offers, Specifications - NDTV"
689,Weight loss: How long does it take to get out of shape? - Times of India
690,"A new Half-Life game is in development, Valve confirms - TechRadar India"
691,"Nusrat Jahan’s health condition improves, released from hospital - Hindustan Times"
692,"U.S. says Israeli settlements no longer considered illegal, angers Palestinians - The Hindu"
693,"4 Soldiers, 2 Porters Dead After Avalanche Hits Army Patrol In Siachen - NDTV News"
694,"Tata Steel Plans to Cut up 3,000 European Jobs Amid Weak Demand Cues, High Costs - News18"
695,"Avalanche hits Army patrol in Siachen, six killed - The Indian Express"
696,"Happy birthday Sushmita Sen: Check out her 10 best pictures with daughters Renee, Alisah and boyfriend... - Hindustan Times"
697,"JNU Protest LIVE: Day After Clash With Cops, Students Gear Up for More Demonstrations Over Fee Hike - News18"
698,"Mrunal Thakur Joins Shahid Kapoor in Jersey, Says Was Bowled Over by Film's Passionate Emotional Journey - News18"
699,"Amazon, Flipkart lead in B-school hiring - Economic Times"
700,What changed for the market while you were sleeping? Top 12 things to know - Moneycontrol.com
701,'We Supported Hindutva When You Weren't Even Born': Sena's Fresh Salvo at BJP Amid Maha Logjam - News18
702,248 candidates file nominations for upcoming Karnataka bye-polls in 15 segments - The News Minute
703,Realme 5s India launch on Nov 20 alongside Realme X2 Pro: Everything we know about this budget smartphone - India Today
704,NASA creates first geological map of Saturn's moon Titan that might have life on it - Firstpost
705,"What Nitish Kumar Said That ""Impressed"" Bill Gates In Patna - NDTV News"
706,"100 protesters remain holed up inside Hong Kong university as police siege enters third day; over 4,400... - Firstpost"
707,7 everyday medication mistakes that can make you sick - Times of India
708,"In Dramatic Escape, Trapped Hong Kong Protesters Shimmy Down Ropes from Bridge to Flee on Bikes - News18"
709,"Telecom tariff hike: Vodafone Idea surges 10%, Bharti Airtel up 4%; brokerages bullish on Airtel - CNBCTV18"
710,"Katrina Kaif, Iulia Vantur join Salman Khan in celebrating Arpita Khan-Aayush Sharma, Salim Khan-Salma’s... - Hindustan Times"
711,"Tanushree Dutta questions Neha Kakkar for working with Anu Malik, brings up a contestant’s inappropriate... - Hindustan Times"
712,"Salman, Sonakshi and other celebs attend Aayush-Arpita's wedding anniversary bash - Free Press Journal"
713,Samsung W20 5G foldable phone with Snapdragon 855 Plus launching today - India Today
714,"Redmi Note 8 to go on sale today at 12 pm: Here are the sale offers, pricing, specifications - Firstpost"
715,"Ajinkya Rahane dreams about pink-ball Test, gets hilarious response from Virat Kohli and Shikhar Dhawan - India Today"
716,"Manav Kaul unveils first look from Saina Nehwal biopic, shuttler calls it ‘amazing’ - Hindustan Times"
717,"Omega 3 protect heart without raising prostate cancer risk, find studies - Specialty Medical Dialogues"
718,"Realme X2 Pro to Launch in India Tomorrow: Expected Price, Specifications, Everything You Should Know - NDTV"
719,'Frozen 2' has a deeper connect with the nature; Deets inside - PINKVILLA
720,Weight loss: Why turmeric water is the perfect weight loss drink you need - Times of India
721,Parliament LIVE: RS Secretariat to Revisit Issue of Marshals' Uniform; Cong Protests Against Removal of Gandhis' SPG Cover in LS - News18
722,Parliament Winter Session LIVE updates: Rajya Sabha adjourned till 2 pm after Oppn uproar over J-K situation - The Indian Express
723,Saturn Moon Titan Shaped by Same Forces as Earth: Researchers - NDTV
724,Taliban commanders 'land in Qatar' as part of prisoner swap move - Al Jazeera English
725,Shiv Sena equates 'ungrateful' BJP with Muhammad Ghori's 'treachery' - Times of India
726,"Vodafone Idea share price surges 30%, Bharti Airtel up 6% after price hike - Moneycontrol.com"
727,‘Tanhaji: The Unsung Warrior’ trailer – Here’s why we are excited for the action packed drama - Times of India
728,Samsung unveils Star Wars Edition Galaxy Note10+ bundled with Galaxy Buds - GSMArena.com news - GSMArena.com
729,Can health insurance premiums go up due to poor air quality? - Livemint
730,"JNU students protest over hostel fee hike: Over 100 protesters detained, several injured in 'baton... - Firstpost"
731,Haryana To Review Honeypreet's Request To Meet Jailed Gurmeet Ram Rahim - NDTV News
732,"ET Awards: A Bandhan that ties micro credit, branch banking and home finance - Economic Times"
733,"RIL market cap hits ₹9.5 lakh crore, a first for an Indian company - Livemint"
734,It is official. Redmi K30 is launching next month - India Today
735,New Zealand and England put cricket rivalry to the Test - Hindustan Times
736,"""No One Was Willing To Align With BJP..."": Shiv Sena's Swipe On NDA Exit - NDTV News"
737,"Wary of Owaisi, Mamata Makes Pre-Emptive Strike With ‘Minority Extremism’ Warning. His Sharp Counter - News18"
738,‘They aren’t normal protectees’: Congress protests withdrawal of Gandhis’ SPG cover - Hindustan Times
739,"Mamata Banerjee warns against minority extremism, Owaisi hits back - Times of India"
740,Keto diet helps combat the flu virus better - The Asian Age
741,"Rajasthan Local Body Election Results 2019 LIVE Updates: Congress wins 316 wards, BJP 234 - The Indian Express"
742,"New Military-style Uniform of RS Marshals to be Reviewed After Oppn Members, Veterans Object - News18"
743,"Kriti Kharbanda Confirms Dating Pulkit Samrat, Says Wanted Parents to Know First - News18"
744,Happy Birthday Sushmita Sen: 5 Most Adorable Posts with Her Daughters - News18
745,Passenger vehicle retail sales jump 11% in October on festive demand: FADA - Times of India
746,Apple Special Event Scheduled For December 2 to Honour Favourite Apps and Games of 2019 - News18
747,"Vodafone Idea share price surges 30%, Bharti Airtel up 6% after price hike - Moneycontrol.com"
748,"'Tanhaji-The Unsung Warrior' trailer: This Ajay Devgn, Kajol and Saif Ali Khan starrer is a fitting tribu - Times of India"
749,Realme 5s Specifications Tipped on Geekbench Ahead of Tomorrow's Launch - Gadgets 360
750,Schoolboy seamer Naseem Shah pitches up for unlikely debut in Australia - Hindustan Times
751,"Girl, 12, Stopped By Cops On Way To Sabarimala, Family Asked To Continue - NDTV News"
752,Many parents have trouble differentiating between teen angst and depressive symptoms - The Asian Age
753,Google Stadia review round-up: Google’s console killer works but not there yet - Hindustan Times
754,Discouraging words from robot players do hurt gamers - The Weekend Leader
755,Australia vs Pakistan: 16-year-old seamer Naseem Shah pitches up for unlikely debut in Brisbane - India Today
756,World Toilet Day: Anxiety of public toilets is real! - Times of India
757,"Buy, sell or hold? Telecom stocks ringing loud - Moneycontrol.com"
758,"Sara Ali Khan is painting New York pink, one holiday pic at a time - Hindustan Times"
759,"Mamata Banerjee vs Asaduddin Owaisi After Her ""Minority Extremism"" Remark - NDTV News"
760,"Bigg Boss 13: Sidharth Shukla tells Rashami Desai she has 'choti soch', watch video - Times of India"
761,"Rajasthan Local Body Election Results 2019 LIVE Updates: Congress wins 708 wards, BJP 555 - The Indian Express"
762,Sabarimala: 12-year-old girl barred from proceeding to Lord Ayyappa temple - Times of India
763,"Rana Kapoor, Morgan Credits and YES Capital sell remaining 0.8% stake in YES Bank - Economic Times"
764,Tanhaji The Unsung Warrior trailer: Ajay Devgn and Saif Ali Khan battle it out in new war drama - India Today
765,‘Tanhaji: The Unsung Warrior’: Trailer of the Ajay Devgn and Saif Ali Khan starrer starts a meme train on - Times of India
766,"Realme X2 Pro with 64MP quad cam to be launched tomorrow: Expected price, specs - Livemint"
767,"ITF rejects PTF's appeal, nominates Nur-Sultan as venue for India-Pakistan Davis Cup tie - Times of India"
768,"JNU Registrar Refuses to Meet HRD Ministry-appointed Panel Members, Alleges Varsity Student Union - News18"
769,Spotify thinks its algorithm can find your next favorite podcast - The Verge
770,Sharad Pawar For President? Story Of Rival Offers In Maharashtra Tussle - NDTV News
771,Fee hike: JNU students demand no administrative or legal action be taken against protesters - Times of India
772,"JNU Protest LIVE: Day after Police Lathicharge, FIR Against Students for Damaging Public Property, Rioting - News18"
773,"Rana Kapoor, Morgan Credits and YES Capital sell remaining 0.8% stake in YES Bank - Economic Times"
774,"TN leaders raise concerns about Gotabaya Presidency, Namal Rajapaksa calls them opportunists - The News Minute"
775,"Mamata Banerjee makes ‘minority extremism’ jibe at AIMIM, Owaisi hits back - The News Minute"
776,"Rajasthan: Congress sweeps local body polls, Gehlot calls it mandate on govt performance - The Indian Express"
777,Vodafone Idea and Airtel Shares Zoom After Both Companies Announce Tariff Hikes - News18
778,"Taliban say they freed US, Australian hostage for 3 Taliban - Hindustan Times"
779,"Congress dominates Rajasthan urban bodies; wins 961 wards, BJP gets 737 - Times of India"
780,"Oman vs India, FIFA World Cup Qualifier: Live streaming, start time and TV broadcast - India Today"
781,India vs Bangladesh: ‘Pink ball Test not the only solution’ - Dravid on how to improve Test cricket’s... - Hindustan Times
782,Neptune’s two moons revolving in sync formation leaves Twitterati mesmerized - The Statesman
783,Sabarimala: 12-year-old girl barred from proceeding to Lord Ayyappa temple - Times of India
784,Healthy diet linked to lower risk of hearing loss - Deccan Herald
785,Rohman Shawl on Sushmita Sen's birthday: You make me want to be a better man - India Today
786,"Downgraded From SPG Cover, Sonia Gandhi Gets This 10-Year-Old SUV - NDTV News"
787,"If BJP Offers 50:50 Deal, Happy To Revive Alliance: Sena Sources - NDTV News"
788,Google & Samsung fix Android spying flaw. Other makers may still be vulnerable - Ars Technica
789,"Wary of Owaisi, Mamata Makes Pre-Emptive Strike With ‘Minority Extremism’ Warning. His Sharp Counter - News18"
790,Diet For Stress: Try These Vitamin-Rich Foods And Drinks To Get Rid Of Stress And Anxiety - NDTV News
791,"Govt Says Law & Order Improved in J&K After Article 370 Move, But Stone-Pelting Cases Show Otherw... - News18"
792,Researchers develop new method to detect light in brain - ANI News
793,Desperate Hong Kong Protesters Use Sewers To Escape Police Siege - NDTV News
794,No formal recommendation necessary: MHA on Bharat Ratna to Savarkar - Times of India
795,Xiaomi’s Quick Apps Update Being Blocked by Google Play Protect - NDTV
796,Reliance Jio says it will increase mobile phone tariffs in next few weeks - Livemint
797,Delhi Police Register Two FIRs Against JNU Students After Protests Bring Parts of Capital to a Halt - News18
798,"Sweden Drops Probe Against WikiLeaks Founder Julian Assange in 2010 Rape Case, Says Prosecutor - News18"
799,Sushmita Sen thanks her fans and loved ones for birthday wishes with an inspiring workout video - Times of India
800,"After Vodafone Idea & Airtel, Reliance Jio to hike mobile tariffs - Times of India"
801,"Parliament Updates: Lok Sabha, Rajya Sabha adjourned; Delhi pollution, row over SPG cover to Gandhis, JNU fee hike dominate proceedings - Firstpost"
802,Chandrayaan-3 plans indicate failures in Chandrayaan-2 - Times of India
803,Climate change could double greenhouse gas emissions from freshwater lakes: Study - ANI News
804,Man held for impersonating as Lufthansa pilot to fly for free on AirAsia India's Delhi-Kolkata flight - Times of India
805,Tan ha ha ji : These 'Tanhaji: The Unsung Warrior' memes will leave you in splits - Free Press Journal
806,Sri Lanka President Rajapaksa accepts PM Modi's invite to visit India - Times of India
807,"Ajay Devgn's Tanhaji Trailer Piques Curiosity, Lata Mangeshkar is 'Much Better' - News18"
808,"With S Jaishankar's Visit to Sri Lanka, India Makes Quick Move to Reach Out to New President Gotabaya Raj... - News18"
809,"Tremors In Delhi, Parts Of North India After Earthquake In Nepal - NDTV News"
810,Healthy diet linked to lower risk of hearing loss - Deccan Herald
811,"Terror financing: ED takes possession of Kashmir assets linked to Syed Salahuddin, others - Hindustan Times"
812,Amazon’s latest Fire TV accessory is an IR blaster that lets your Echo control your TV - The Verge
813,"Lok Sabha Speaker pulls up DDA, DJB, civic body officials for skipping Parliamentary panel meet on pollut - Times of India"
814,"JNU Protest LIVE: FIR Filed Against Students for Damaging Public Property, Rioting - News18"
815,"Kamal Haasan, Rajinikanth hint at joining hands politically ‘if need arises’ - Times of India"
816,NASA's James Webb Space Telescope Clears Critical Sunshield Deployment Testing - NASA Goddard
817,I-League 2019-20 Fixtures Announced: Full List of Matches - News18
818,RBI affidavit details how it was 'fooled' by scam-hit PMC Bank - Livemint
819,"""Sickening"", Says AAP As BJP MP Calls Arvind Kejriwal ""A Huge Pollution"" - NDTV News"
820,Trade Setup for Wednesday: Top 15 things to know before Opening Bell - Moneycontrol.com
821,"Jio Says Will Raise Mobile Tariffs in a Few Weeks, Joins Airtel and Vodafone Idea - Gadgets 360"
822,"If BJP Offers 50:50 Deal, Happy To Revive Alliance: Sena Sources - NDTV News"
823,‘If a situation arises…’:Rajinikanth on joining hands with Kamal Haasan - The Indian Express
824,"JNU Moves Contempt Petition Against Students, Delhi Police - NDTV News"
825,"After Vodafone Idea & Airtel, Reliance Jio to hike mobile tariffs - Times of India"
826,"Amitabh Bachchan, Rajnikanth to kick off golden jubilee celebration of IFFI - Hindustan Times"
827,‘Want them outside 100m of admin block’: JNU moves court against agitating students - Hindustan Times
828,"Yes Bank discloses FY19 bad loan divergence of Rs 3,277 crore; to finalize capital raising by month-end - Moneycontrol"
829,Tickets for first four days of Pink Ball Test sold out: Sourav Ganguly - Times of India
830,Jaya Bachchan vents ire on media for clicking pics - Times of India
831,LS members demand integrated action to deal with pollution; say not right to blame farmers alone - Times of India
832,"India vs Oman, FIFA 2022 World Cup Qualifier LIVE Score and Updates: India Trail 0-1 as Ghassani Scores - News18"
833,"Delhi Man Impersonates Lufthansa Pilot To Skip Queue, Arrested: Officials - NDTV News"
834,"Reliance Jio joins Airtel, Vodafone Idea in plans to raise mobile tariffs - Times of India"
835,Maharashtra govt formation: Congress-NCP meeting on Wednesday; Shiv Sena optimistic - Times of India
836,Get a cheap gaming mouse deal with the Razer DeathAdder Elite pointer for only $30 at NewEgg - PC Gamer
837,GeForce 441.34 Hotfix driver download - guru3d.com
838,"PMC Case: Depositors Can Approach RBI Admin for Emergency Withdrawals, HC Told - News18"
839,"India lose 0-1 to Oman, virtually out of contention for FIFA World Cup berth - Times of India"
840,"India vs Oman, FIFA 2022 World Cup Qualifier HIGHLIGHTS: India Lose 0-1 to Oman as WC Hopes Fade - News18"
841,Healthy diet linked to lower risk of hearing loss: Study - The Tribune
842,"Govt Says Law & Order Improved in J&K After Article 370 Move, But Stone-Pelting Cases Show Otherw... - News18"
843,"With S Jaishankar's Visit to Sri Lanka, India Makes Quick Move to Reach Out to New President Gotabaya Raj... - News18"
844,"Olympus CEO Backtracks, says Camera Business May Be for Sale: Report - PetaPixel"
845,Rafael Nadal vs Karen Khachanov live stream: How to watch Spain vs Russia Davis Cup clash - Express
846,"Deported from US, 145 Indians to land in Delhi today - Hindustan Times"
847,Microsoft's biggest flops of the decade - TechRepublic
848,Bill To Remove Congress Chief As Jallianwala Trustee Passed In Parliament - NDTV News
849,"RBI finds Yes Bank under-reported bad loans by ₹3,277 crore in FY19 - Livemint"
850,"PSBs reported frauds worth ₹96,000 crore between April-September 2019 - Livemint"
851,‘They aren’t normal protectees’: Congress protests withdrawal of Gandhis’ SPG cover - Hindustan Times
852,Simon Taufel names challenges of umpiring in high-tech era - Hindustan Times
853,The Razer Deathadder Elite is only $29 at Newegg right now - TechRadar
854,"Motichoor Chaknachoor director disowns film, says no one will watch the magic we created because of... - Hindustan Times"
855,"Rajya Sabha adjourned after uproar over JNU, J&K - Hindustan Times"
856,Dengue fine lacks sting - Telegraph India
857,"Con man boards over 15 flights as pilot, held - Times of India"
858,Hands-on with Xiaomi’s 108 megapixel sub-$1000 Mi Note 10 - Pickr
859,Gaming laptops may be getting Nvidia's Super GPUs early next year - TechRadar India
860,J&K stone-pelting down but 700 held since August 5: Govt - Times of India
861,Sri Lanka's new president may struggle to form government - Times of India
862,Youngsters are more vulnerable to dengue: Experts - Times of India
863,"Scientist claims to spot insects on Mars, but I think they're just rocks - CNET"
864,"Bale Celebrates Euro 2020 Qualification with “Wales, Golf, Madrid — In that Order” Flag - Managing Madrid"
865,"Delhi’s air bad, farm fires make it worse - Hindustan Times"
866,RSS urges Centre to focus on rural economy in next budget - Hindustan Times
867,Link Tank: Scientists See Titan’s Terrain For First Time - Sunriseread
868,"Realme X2 Pro, Realme 5s to Launch Today: How to Watch Live Stream, Price, Specifications, More - NDTV"
869,"We're Living Through Earth's Second-Hottest Year, Says US Agency - NDTV News"
870,"NCP-Congress meet today, could set early-December date to form Maharashtra govt - Times of India"
871,Trump impeachment: Key witness says he was offered Ukraine defence minister’s post - Hindustan Times
872,"Rajinikanth, Kamal Haasan Talk Of ""Travelling Together"" In Politics - ndtv.com"
873,25 Migrants Found In Refrigerated Truck On Dutch-UK Ferry - NDTV News
874,"Madhur Bhandarkar Visits Lata Mangeshkar in Hospital, Says She is 'Stable' - News18"
875,RØDE VideoMic NTG – The Swiss Army Knife of Microphones - Newsshooter
876,"CISF bids adieu to its canine commandos with march past, medals and cake - Hindustan Times"
877,Rode's VideoMic NTG is a pro microphone for any kind of user - TechRadar India
878,"Redmi Note 8 Pro Sale Today at 12 Noon via Amazon India, Mi.com: Check Price, Offers, Specifications - NDTV"
879,Migrants found alive in refrigerated truck on Dutch-U.K. ferry - The Hindu
880,‘Possibility of life’: Saturn’s moon Titan mapped for 1st time - Times of India
881,The Pink Test: Why Eden Gardens is best suited for pink-ball cricket - Times of India
882,"Stocks to Watch: RIL, Yes Bank, Bharti Airtel, Infosys, NBFCs, Wipro - Livemint"
883,"Aishwarya Rai glows in red as she poses with Abhishek Bachchan, daughter Aaradhya for family pics - Hindustan Times"
884,7 health benefits of having pumpkin seeds - Times of India
885,"Realme X2 Pro, Realme 5s India launch today: Expected specs and price, how to watch livestream - India Today"
886,"Protest widens gulf in JNU: Students, administration dig in heels - Hindustan Times"
887,"Market Headstart: Nifty seen opening lower; Yes Bank, telecom stocks eyed - Moneycontrol.com"
888,"India's Economic Growth May Tank Below 5% To A New Low, Predict Analysts - NDTV News"
889,You don't have any manners? Jaya Bachchan angry at media for taking pics at Manish Malhotra's residence - Free Press Journal
890,"Tamannaah Bhatia meets her idol Karisma Kapoor on a flight, calls her dance of envy ‘best dance-off... - Hindustan Times"
891,"Reliance Jio, Airtel, Vodafone-Idea set to bring 'bad news' for users: 10 things to know - Gadgets Now"
892,Vicky Kaushal's Superhero Film The Immortal Ashwatthama to be Shot in These Foreign Locations - News18
893,Got Kidney Stone? Try Apple Cider Vinegar: Here's How It Works; Know The Right Method To Use - NDTV News
894,Alleged OnePlus 8 Pro diagrams leak with a quad-camera setup - GSMArena.com news - GSMArena.com
895,"Rajnath Singh Visits Kranji War Memorial in Singapore, Pays Tribute to Those Who Died During Second World... - News18"
896,"Facebook Has Made a Meme App Called Whale, But What Exactly Would You do With it? - News18"
897,"Ferguson’s New Zealand test debut delayed, misses out against England - Hindustan Times"
898,The Daily Fix: BHU protest against Muslim teacher shows how communal vitriol is undermining India - Scroll.in
899,"Amid Maharashtra logjam, Pawar-PM to meet in Parliament - Times of India"
900,Realme X2 Pro to Launch Alongside Realme 5s: Here’s How to Watch the Live Stream - News18
901,"Amazon Echo Flex plug-in smart speaker launched in India, priced at Rs 2,999 - Hindustan Times"
902,"This light-sensing camera may help detect extraterrestrial life, dark matter - Deccan Chronicle"
903,Voda Idea climbs 170% in 4 sessions; should you bet on the stock? - Economic Times
904,"Sensex hits fresh all-time high; Nifty above 12,000-mark - Times of India"
905,Weight loss: The perfect time to eat a dessert - Times of India
906,Aishwarya Rai shares daughter Aaradhya Bachchan's pic from birthday bash: Love you infinitely - India Today
907,Researchers develop new way to detect exchange of information in brain - TheHealthSite
908,Sharad Pawar-PM Meet On Farm Crisis Today 2 Days After Rajya Sabha Praise - NDTV News
909,"Sensex hits a new high, 4 factors that could be fuelling optimism - Moneycontrol.com"
910,Extraterrestrial Sugar Found in Space Rocks Show that Meteorites May Have Led to Origin of Life on Earth - News18
911,India Set To Make Day-Night Test Debut; Here Are All Stats You Need To Know - NDTV Sports
912,Pink-ball stats should be separate from red-ball cricket: Sunil Gavaskar - Times of India
913,"Bigg Boss 13: Karanvir Bohra Supports Sidharth Shukla, Says Asim Shouldn't Have Pushed Him - News18"
914,Jose Mourinho appointed Tottenham Hotspur manager after Mauricio Pochettino sacking - Hindustan Times
915,Individuals exposed to CT scan radiation prone to thyroid cancer - The Siasat Daily
916,Lakes and Labyrinths: NASA Reveals First Geological Map of Saturn’s Planet-sized Moon 'Titan' - News18
917,Statins can negatively impact cognitive health - Deccan Chronicle
918,Jose Mourinho replaces Mauricio Pochettino as Tottenham Hotspur manager - India Today
919,"Situation is normal in J&K, says Amit Shah - Times of India"
920,"Aishwarya Rai Does It Again! In A Red Anarkali Suit, She Sets Ethnic Goals - NDTV"
921,"'No comments', says Sonia Gandhi on political developments in Maharashtra - Times of India"
922,"Amazon Echo Flex Plug-In Smart Speaker Launched in India at Rs. 2,999 - Gadgets 360"
923,"Amazon Echo Flex Plug-In Smart Speaker Launched in India at Rs. 2,999 - Gadgets 360"
924,Will revive BSNL; make it profitable: Ravi Shankar Prasad - Livemint
925,"Jacqueline Fernandez announces new film with John Abraham and Rakul Preet, says ‘It’s a fantastic film... - Hindustan Times"
926,"2,887 days: Shinzo Abe becomes Japan’s longest-serving premier - Hindustan Times"
927,"Behind Mamata-Owaisi Spar, a Raging Battle for Muslim Votes in Face of BJP’s Boosted Chances in Bengal - News18"
928,"""By Tomorrow You'll Know..."": Sena Leader Amid Maharashtra Negotiations - NDTV News"
929,"""Matter Closed, Congress Can Keep Asking"": Government Sources On SPG Row - NDTV News"
930,"Home Made Soups Can Save You From Malaria, New Study Shows - News18"
931,"Felt like home, not film set: Ajay Devgn on working with wife Kajol in 'Tanhaji: The Unsung Warrior' - Times of India"
932,"Tesla, others may soon get incentives to set up factories in India - Livemint"
933,"Realme 5s unveiled with 48MP main camera, more base storage and new paint job - GSMArena.com news - GSMArena.com"
934,"India's squad for West Indies series: Rohit Sharma's workload, out-of-form Shikhar Dhawan in focus - Times of India"
935,‘Not a Problem in Mumbai’: Hema Malini’s Bizarre Rationale For Skipping Parliament’s Pollution De... - News18
936,NCP chief Sharad Pawar meets PM Modi over farmers' distress in Maharashtra - Times of India
937,"NRC Will Be Carried Out Nationwide, No One Should Be Worried: Amit Shah - NDTV News"
938,"Realme X2 Pro With 64-Megapixel Quad Camera Setup, Snapdragon 855+ SoC Launched in India: Price, Specifications, More - NDTV"
939,US Scientist Claims Photos Show Evidence Of Life On Mars - NDTV News
940,"""Matter Closed, Congress Can Keep Asking"": Government Sources On SPG Row - NDTV News"
941,NRC process to be carried out in entire country: Amit Shah in Rajya Sabha - Times of India
942,"Paresh Rawal's ""Mohammed Rafi Logic"" In Support For Muslim Professor Firoze Khan At BHU - NDTV News"
943,Sanjay Raut to Venkaiah Naidu: 'Seating position in RS changed to hurt Shiv Sena's sentiments' - Times of India
944,Congress calls electoral bonds as ‘bribery bonds’ - The Hindu
945,Nysa Devgn makes a style statement in a knotted top and denims - Times of India
946,Red Dead Redemption 2 PC patch fixes pretty much everything that’s wrong with the game - TechRadar India
947,Virat Kohli posts nostalgic post about ‘partner in crime’ MS Dhoni - Hindustan Times
948,"IFFI 2019: Amitabh Bachchan, Rajinikanth, Karan Johar add glamour to inaugural ceremony, see pics - Hindustan Times"
949,"Honor 20i gets big price drop in India for a limited period: Check new price, alternatives - Hindustan Times"
950,"I Enjoy Doing Grey Characters, Says Saif Ali Khan on Turning Villain in Tanhaji The Unsung Warrior - News18"
951,"NRC Will Be Carried Out Nationwide, No One Should Be Worried: Amit Shah - NDTV News"
952,RRR: Olivia Morris to play Jr NTR's love interest in SS Rajamouli's next - PINKVILLA
953,"SC Asks Kerala Govt to Stay Clear of Women's Entry Issue for Now, Come up with Law to Administer Sabarima... - News18"
954,Soups can save you from malaria: Study - Daily Pioneer
955,RIL share price adds 2% as Credit Suisse raises target - Moneycontrol.com
956,India vs Bangladesh: Ashwin hopes Day/Night marks new beginning for Test cricket - Times of India
957,"Parliament LIVE: Amit Shah Bats for Nationwide NRC, Says No Person of Any Religion Should be Anxious - News18"
958,"Realme X2 Pro vs OnePlus 7T vs Redmi K20 Pro; Price in India, Specifications Compared - NDTV"
959,"Rajamouli's 'RRR' team makes big reveals, heroine and antagonists announced - The News Minute"
960,"Sebi tightens norms on default disclosure, rights issue, portfolio services - Livemint"
